toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,target
3182.01,372448111,,10h05m14.82s,151.311753,-65d56m31.14s,-65.941982,-9.681,0.028,-0.028,0,19.931,0.029,-0.029,0,2459357.042103,0.005893,-0.005893,0,5.0700956,5.63e-05,-5.63e-05,0,2.763,0.357,-0.357,0,3570,8.48509,-8.48509,0,5.54459,0.417305,-0.417305,0,211.546,NaN,NaN,NaN,1062,NaN,NaN,NaN,12.9615,0.006,-0.006,0,469.912,3.383,-3.383,0,5641,130.8,-130.8,0,4.47,0.08,-0.08,0,0.96,0.05,-0.05,0,04-Jun-2021 13:54:21,05-Oct-2022 14:00:02,0
3183.01,370385007,,15h03m57.96s,225.991509,-51d10m56.62s,-51.182394,-4.613,0.044,-0.044,0,-4.54,0.04,-0.04,0,2459360.251174,0.004009,-0.004009,0,4.2174286,2.9e-05,-2.9e-05,0,4.045,0.435,-0.435,0,7050,7.81863,-7.81863,0,18.2265,1.08723,-1.08723,0,1403.49,NaN,NaN,NaN,1705,NaN,NaN,NaN,12.7414,0.007,-0.007,0,1085.05,26.575,-26.575,0,6841,138.2,-138.2,0,3.93,0.09,-0.09,0,2.2,0.1,-0.1,0,04-Jun-2021 13:54:21,05-Oct-2022 14:00:02,0
3184.01,366248595,,15h06m35.73s,226.648869,-47d13m30.12s,-47.225034,-5.506,0.094,-0.094,0,-6.804,0.077,-0.077,0,2459358.969705,0.002068,-0.002068,0,3.6071588,1.64e-05,-1.64e-05,0,3.947,0.254,-0.254,0,4270,7.45251,-7.45251,0,11.5952,0.703375,-0.703375,0,1086.36,NaN,NaN,NaN,1599,NaN,NaN,NaN,12.2859,0.006,-0.006,0,649.368,18.751,-18.751,0,6071,128.7,-128.7,0,4.04,0.08,-0.08,0,1.68,0.09,-0.09,0,04-Jun-2021 13:54:22,21-Sep-2022 14:00:01,0
3185.01,363661031,,13h20m00.86s,200.003563,-47d42m27.23s,-47.707563,-13.929,0.114,-0.114,0,-1.935,0.198,-0.198,0,2459355.303805,0.00068,-0.00068,0,3.5601365,6.3e-06,-6.3e-06,0,2.824,0.322,-0.322,0,4630,2.16768,-2.16768,0,14.1499,1.87218,-1.87218,0,2183.57,NaN,NaN,NaN,1904,NaN,NaN,NaN,11.162,0.007,-0.007,0,554.954,71.3665,-71.3665,0,6762,138.8,-138.8,0,4.03,0.14,-0.14,0,1.93,0.25,-0.25,0,04-Jun-2021 13:54:22,05-Oct-2022 14:00:02,0
3186.01,363632843,,09h51m35.91s,147.899643,-62d47m09.61s,-62.786004,-6.217,0.028,-0.028,0,3.912,0.03,-0.03,0,2458619.884711,0.003879,-0.003879,0,3.6131943,0.0002629,-0.0002629,0,1.452,0.324,-0.324,0,12650,58.0599,-58.0599,0,19.2485,NaN,NaN,0,348.727,NaN,NaN,NaN,1203,NaN,NaN,NaN,13.3586,0.006,-0.006,0,1403.69,30.415,-30.415,0,7520,122,-122,0,4.25,NaN,NaN,0,1.64,NaN,NaN,0,04-Jun-2021 13:54:22,29-Oct-2021 13:06:46,0
3187.01,245027119,,13h10m19.19s,197.579939,-48d54m31.99s,-48.908885,5.54,0.218,-0.218,0,0.544,0.186,-0.186,0,2459359.079526,0.00139,-0.00139,0,2.0084283,7.4e-06,-7.4e-06,0,2.6,0.256,-0.256,0,1310,0.49342,-0.49342,0,16.5313,3.67441,-3.67441,0,1608.42,NaN,NaN,NaN,1764,NaN,NaN,NaN,11.1799,0.009,-0.009,0,1018.11,220.288,-220.288,0,5438.8,335.1,-335.1,0,4.3,2,-2,0,4.54,1,-1,0,04-Jun-2021 13:54:22,05-Oct-2022 14:00:02,0
3188.01,363202582,,09h48m35.76s,147.149005,-64d33m52.73s,-64.564647,-8.802,0.033,-0.033,0,6.646,0.029,-0.029,0,2459359.2727,0.00125,-0.00125,0,1.5659063,3.8e-06,-3.8e-06,0,1.169,0.24,-0.24,0,6810,1263.32,-1263.32,0,18.7417,NaN,NaN,0,1827.32,NaN,NaN,NaN,1821,NaN,NaN,NaN,13.4016,0.006,-0.006,0,1072.85,18.015,-18.015,0,6356,122,-122,0,4.13,NaN,NaN,0,1.6,NaN,NaN,0,04-Jun-2021 13:54:23,05-Oct-2022 14:00:02,0
3189.01,361998994,,09h40m56.06s,145.2336,-63d29m13.97s,-63.487213,-9.782,0.034,-0.034,0,9.692,0.031,-0.031,0,2458622.189194,0.004049,-0.004049,0,1.84996,0.0001401,-0.0001401,0,2.954,0.387,-0.387,0,9350,16.3639,-16.3639,0,13.3315,NaN,NaN,0,2772.81,NaN,NaN,NaN,2021,NaN,NaN,NaN,13.6447,0.006,-0.006,0,1049.88,18.82,-18.82,0,6320,122,-122,0,4.26,NaN,NaN,0,1.37,NaN,NaN,0,04-Jun-2021 13:54:23,29-Oct-2021 13:06:46,0
319.01,389753172,APC,23h25m09.78s,351.290752,-47d56m44.15s,-47.945596,-32.589,0.043,-0.043,0,-8.129,0.093,-0.093,0,2459086.530897,0.000258,-0.000258,0,0.7135373,3e-07,-3e-07,0,0.892,0.038,-0.038,0,18540,1897.3,-1897.3,0,16.1586,3.83695,-3.83695,0,667.233,NaN,NaN,NaN,1415,NaN,NaN,NaN,12.7464,0.006,-0.006,0,182.561,1.815,-1.815,0,4349.7,128.9,-128.9,0,4.58,0.22,-0.22,0,0.74,0.07,-0.07,0,20-Dec-2018 19:43:30,30-Mar-2022 14:00:01,0
3190.01,344745774,,10h26m43.37s,156.680692,-66d30m17.62s,-66.504894,-6.202,0.028,-0.028,0,1.752,0.025,-0.025,0,2459330.664125,0.003256,-0.003256,0,2.669856,1.5e-05,-1.5e-05,0,3.559,0.331,-0.331,0,6480,6.71123,-6.71123,0,16.192,NaN,NaN,0,4573.16,NaN,NaN,NaN,2290,NaN,NaN,NaN,13.3066,0.006,-0.006,0,1679.95,44.585,-44.585,0,7833,125,-125,0,4.1,NaN,NaN,0,2,NaN,NaN,0,04-Jun-2021 13:54:23,25-Jan-2023 14:00:01,0
